PatronsID, FirstName, Email, checked out number 
"83", "Caril", "cmatejic2a@orangevalleycaa.org", "9" 
"69", "Alaster", "aruggles1w@red30design.com", "9" 
"73", "Merle", "msukbhans20@orangevalleycaa.org", "11" 
"94", "Curr", "cfittall2l@orangevalleycaa.org", "12" 
"64", "Norby", "nsleight1r@kinetecoinc.com", "12" 
"50", "Jack", "jvaan@wisdompets.com", "13" 
"7", "Cammi", "ckynett6@orangevalleycaa.org", "14" 
"16", "Carla", "cswinfenf@kinetecoinc.com", "14" 
"3", "Aleen", "afasey2@kinetecoinc.com", "14" 
"12", "Orton", "ostaversb@orangevalleycaa.org", "14" 
